# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
9.389577141786379E+09	-5.690917746123989E-01	-1.777447067088733E+02	-5.565250726628877E+01	1.200793462397784E+02	-5.568034097762560E+01	1.197785244184477E+02	-1.220786159819486E+00	1.771985983248979E+02	
9.408632180197378E+09	-6.195415378098158E-01	-1.777416417708183E+02	-5.575482501495837E+01	1.195959577903344E+02	-5.577819382236952E+01	1.194138638391302E+02	-1.265521189852110E+00	1.771372169831134E+02	
9.427725888559507E+09	-5.922664281096556E-01	-1.773818235170681E+02	-5.575572312036792E+01	1.196844223086910E+02	-5.582149760795124E+01	1.194075032777136E+02	-1.240934560507450E+00	1.774196639201959E+02	
9.446858345348791E+09	-5.571488053281283E-01	-1.774271557256579E+02	-5.577101946609768E+01	1.191446768861834E+02	-5.580599759264391E+01	1.189042119269092E+02	-1.207773145288286E+00	1.773309488807986E+02	
9.466029629200665E+09	-5.240556777946815E-01	-1.775066749106359E+02	-5.577311805758627E+01	1.184092009614587E+02	-5.580528081828458E+01	1.182565095657565E+02	-1.184070118900037E+00	1.772795955914609E+02	
9.485239818909990E+09	-5.843259375640759E-01	-1.773803969902691E+02	-5.585962810824889E+01	1.176089088555274E+02	-5.586723027990693E+01	1.173343249988724E+02	-1.228110877122345E+00	1.774690420331825E+02	
9.504488993431692E+09	-5.903658991005889E-01	-1.771157317269096E+02	-5.592068955140866E+01	1.174249528654159E+02	-5.594272242435713E+01	1.171494502372726E+02	-1.247077832546720E+00	1.777208142714968E+02	
9.523777231880768E+09	-5.805685854341744E-01	-1.769286628973298E+02	-5.592656034106667E+01	1.173038096257382E+02	-5.595299915683256E+01	1.170567933134572E+02	-1.242090751084367E+00	1.779183769287462E+02	
9.543104613532923E+09	-5.540624731228458E-01	-1.771888698558041E+02	-5.592923325107979E+01	1.166196240709036E+02	-5.596705389994363E+01	1.163660050028061E+02	-1.220823431529807E+00	1.777232772756419E+02	
9.562471217824589E+09	-5.613246037839216E-01	-1.772218205472069E+02	-5.593841296985013E+01	1.159681834870110E+02	-5.596973252902275E+01	1.156953937011475E+02	-1.234409273291700E+00	1.777926281686975E+02	
9.581877124353561E+09	-6.198176251283217E-01	-1.771293652323120E+02	-5.602547730584264E+01	1.155402931063371E+02	-5.607313017934565E+01	1.151873379543794E+02	-1.292103605470829E+00	1.779658050411592E+02	
9.601322412879013E+09	-6.198593442568279E-01	-1.768566408762456E+02	-5.606695747778788E+01	1.153288221810272E+02	-5.607216139611022E+01	1.150004951640067E+02	-1.304848137912053E+00	1.783099004063965E+02	
9.620807163322136E+09	-5.997656008943588E-01	-1.770263591822033E+02	-5.607167348046157E+01	1.148806680545996E+02	-5.610995731162664E+01	1.146646779891906E+02	-1.279148295001156E+00	1.781426126426175E+02	
9.640331455766155E+09	-5.416994902116233E-01	-1.774532446818149E+02	-5.605404572803135E+01	1.142675748237704E+02	-5.611597570592777E+01	1.138704697993343E+02	-1.235778742957920E+00	1.776748366223415E+02	
9.659895370456974E+09	-5.643809090404260E-01	-1.774477009297324E+02	-5.609521076983415E+01	1.134727117602895E+02	-5.615083179324767E+01	1.131392680179868E+02	-1.263206489165824E+00	1.777426312179562E+02	
9.679498987803183E+09	-6.019411516718050E-01	-1.771079294087598E+02	-5.616943904412657E+01	1.132509192910021E+02	-5.618973263369892E+01	1.129237943137458E+02	-1.298906825587714E+00	1.780623220434765E+02	
